year,Team_A,Team_B,poss_A,rtg_A,poss_B,rtg_B,winner,formatting_a,formatting_b,,
2015,Notre Dame,Northeastern,63.7,29.58,63.5,4.53,1,1,1,,
2015,Wichita State,Indiana,61.9,25.43,66.9,19.83,1,1,1,,
2015,Kansas,New Mexico State,66.7,28.19,62.9,7.14,1,1,1,,
2015,Wisconsin,Coastal Carolina,59.5,39.32,65.2,0,1,1,1,,
2015,Oregon,Oklahoma State,68,17.36,64.6,20.05,1,1,1,,
2015,Arkansas,Wofford,70.1,20.55,62.7,5.46,1,1,1,,
2015,North Carolina,Harvard,69.2,30.51,61.2,8.3,1,1,1,,
2015,Xavier,Mississippi,65.6,23.76,67,17.79,1,1,1,,
2015,Baylor,Georgia State,62.8,27.71,64.3,9.58,0,1,1,,
2015,Virginia Commonwealth,Ohio State,66.4,19.65,66,28.98,0,1,1,,
2015,Arizona,Texas Southern,66.5,36.51,64.5,-7.66,1,1,1,,
2015,Villanova,Lafayette,65,35.39,64.8,-4.13,1,1,1,,
2015,NC State,Louisiana State,64.5,21.57,69.6,17.12,1,1,1,,
2015,Northern Iowa,Wyoming,57.4,22.55,58.3,7.77,1,1,1,,
2015,Louisville,UC Irvine,65.5,27.28,63.7,6.76,1,1,1,,
2015,Providence,Dayton,65.7,20.92,64.2,17.57,0,1,1,,
2015,Oklahoma,Albany (NY),67.4,28.08,61.2,1.02,1,1,1,,
2015,Michigan State,Georgia,63,27.09,64.9,19.32,1,1,1,,
2015,Virginia,Belmont,58.6,36.09,67.5,11.74,1,1,1,,
2015,Duke,Robert Morris,65.9,38.52,66.7,-3.14,1,1,1,,
2015,San Diego State,St. John's (NY),60.8,19.44,67.6,18.44,1,1,1,,
2015,Utah,Stephen F. Austin,62.6,32.66,68,13.32,1,1,1,,
2015,Georgetown,Eastern Washington,64.6,11.83,68.3,1.7,1,1,1,,
2015,Southern Methodist,UCLA,63.3,20.96,67.3,18.22,0,1,1,,
2015,Iowa State,UAB,69.8,26.88,65.9,4.18,0,1,1,,
2015,Iowa,Davidson,64.5,24.16,67.2,18.27,1,1,1,,
2015,Gonzaga,North Dakota State,65.2,32.1,61.9,-0.28,1,1,1,,
2015,Kentucky,Cincinnati,63.7,43.93,59.6,17.94,1,1,1,,
2015,West Virginia,Maryland,68.7,22.65,64.7,20.58,1,1,1,,
2015,Butler,Notre Dame,64.2,25.56,63.7,29.58,0,1,1,,
2015,Wichita State,Kansas,61.9,25.43,66.7,28.19,1,1,1,,
2015,Wisconsin,Oregon,59.5,39.32,68,17.36,1,1,1,,
2015,Arkansas,North Carolina,70.1,20.55,69.2,30.51,0,1,1,,
2015,Xavier,Georgia State,65.6,23.76,64.3,9.58,1,1,1,,
2015,Ohio State,Arizona,66,28.98,66.5,36.51,0,1,1,,
2015,Villanova,NC State,65,35.39,64.5,21.57,0,1,1,,
2015,Northern Iowa,Louisville,57.4,22.55,65.5,27.28,0,1,1,,
2015,Dayton,Oklahoma,64.2,17.57,67.4,28.08,0,1,1,,
2015,Michigan State,Virginia,63,27.09,58.6,36.09,1,1,1,,
2015,Duke,San Diego State,65.9,38.52,60.8,19.44,1,1,1,,
2015,Utah,Georgetown,62.6,32.66,64.6,11.83,1,1,1,,
2015,UCLA,UAB,67.3,18.22,65.9,4.18,1,1,1,,
2015,Iowa,Gonzaga,64.5,24.16,65.2,32.1,0,1,1,,
2015,Kentucky,West Virginia,63.7,43.93,68.7,22.65,1,1,1,,
2015,Notre Dame,Wichita State,63.7,29.58,61.9,25.43,1,1,1,,
2015,Wisconsin,North Carolina,59.5,39.32,69.2,30.51,1,1,1,,
2015,Xavier,Arizona,65.6,23.76,66.5,36.51,0,1,1,,
2015,NC State,Louisville,64.5,21.57,65.5,27.28,1,1,1,,
2015,Oklahoma,Michigan State,67.4,28.08,63,27.09,0,1,1,,
2015,Duke,Utah,65.9,38.52,62.6,32.66,1,1,1,,
2015,UCLA,Gonzaga,67.3,18.22,65.2,32.1,0,1,1,,
2015,Kentucky,Notre Dame,63.7,43.93,63.7,29.58,1,1,1,,
2015,Wisconsin,Arizona,59.5,39.32,66.5,36.51,1,1,1,,
2015,Louisville,Michigan State,65.5,27.28,63,27.09,0,1,1,,
2015,Duke,Gonzaga,65.9,38.52,65.2,32.1,1,1,1,,
2015,Kentucky,Wisconsin,63.7,43.93,59.5,39.32,0,1,1,,
2015,Michigan State,Duke,63,27.09,65.9,38.52,0,1,1,,
2015,Wisconsin,Duke,59.5,39.32,65.9,38.52,0,1,1,,
2016,Kansas,Austin Peay,69.7,34.95,70.5,-6.74,1,1,1,,
2016,Colorado,Connecticut,70.8,17.89,66.1,24.08,0,1,1,,
2016,Maryland,South Dakota State,67.3,25.49,68.8,9.37,1,1,1,,
2016,California,Hawaii,68.2,23.14,71.6,14.06,0,1,1,,
2016,Arizona,Wichita State,69.8,27.51,66.1,26.35,0,1,1,,
2016,Miami (FL),Buffalo,66.2,27.73,72.6,3.36,1,1,1,,
2016,Iowa,Temple,69.1,25.21,65.8,12.51,1,1,1,,
2016,Villanova,UNC Asheville,67.3,36.33,70.4,2.48,1,1,1,,
2016,Oregon,Holy Cross,69.5,26.59,64.6,-14.98,1,1,1,,
2016,Saint Joseph's,Cincinnati,70.1,18.38,65.5,22.55,1,1,1,,
2016,Baylor,Yale,67.6,24.32,66.9,14.95,0,1,1,,
2016,Duke,UNC Wilmington,68.4,28.27,71.3,9.51,1,1,1,,
2016,Texas,Northern Iowa,66.8,22.12,64.1,14.32,0,1,1,,
2016,Texas A&M,Green Bay,68.6,26.87,77.3,3.25,1,1,1,,
2016,Oregon State,Virginia Commonwealth,68.4,15.7,69.8,21.08,0,1,1,,
2016,Oklahoma,Cal State Bakersfield,71,28.39,68.4,5.57,1,1,1,,
2016,North Carolina,Florida Gulf Coast,70.2,34.39,69.7,0.53,1,1,1,,
2016,Southern California,Providence,72.5,19.71,69.8,18.23,0,1,1,,
2016,Indiana,Chattanooga,69.1,29.39,68.1,6.28,1,1,1,,
2016,Kentucky,Stony Brook,68.1,30.32,67.8,7.58,1,1,1,,
2016,Notre Dame,Michigan,65,21.47,65.7,21.67,1,1,1,,
2016,West Virginia,Stephen F. Austin,70.7,30.81,69.6,15.1,0,1,1,,
2016,Wisconsin,Pittsburgh,64.1,20.99,66.4,23.28,1,1,1,,
2016,Xavier,Weber State,72.4,27.18,68.6,1.93,1,1,1,,
2016,Virginia,Hampton,61.5,34.97,71.7,-11.05,1,1,1,,
2016,Texas Tech,Butler,66.7,18.81,69.8,23.11,0,1,1,,
2016,Purdue,Little Rock,67.8,30.35,64.5,12.85,0,1,1,,
2016,Iowa State,Iona,71.5,24.83,72.5,6.47,1,1,1,,
2016,Seton Hall,Gonzaga,70.7,21.89,68.1,25.33,0,1,1,,
2016,Utah,Fresno State,67.7,22.55,70.1,8.72,1,1,1,,
2016,Dayton,Syracuse,68.6,17.45,64.9,22.94,0,1,1,,
2016,Michigan State,Middle Tennessee,66.8,34.24,69.1,5.14,0,1,1,,
2016,Kansas,Connecticut,69.7,34.95,66.1,24.08,1,1,1,,
2016,Maryland,Hawaii,67.3,25.49,71.6,14.06,1,1,1,,
2016,Wichita State,Miami (FL),66.1,26.35,66.2,27.73,0,1,1,,
2016,Iowa,Villanova,69.1,25.21,67.3,36.33,0,1,1,,
2016,Oregon,Saint Joseph's,69.5,26.59,70.1,18.38,1,1,1,,
2016,Yale,Duke,66.9,14.95,68.4,28.27,0,1,1,,
2016,Northern Iowa,Texas A&M,64.1,14.32,68.6,26.87,0,1,1,,
2016,Virginia Commonwealth,Oklahoma,69.8,21.08,71,28.39,0,1,1,,
2016,North Carolina,Providence,70.2,34.39,69.8,18.23,1,1,1,,
